fecha,mes,anio,linea,tipo_pago,afluencia
2021-01-23,Enero,2021,Linea 4,Prepago,51840.0
2021-01-23,Enero,2021,Linea 4,Gratuidad,2128.0
2021-01-23,Enero,2021,Linea 5,Prepago,77634.0
2021-01-23,Enero,2021,Linea 5,Gratuidad,8498.0
2021-01-23,Enero,2021,Linea 6,Prepago,73624.0
2021-01-23,Enero,2021,Linea 6,Gratuidad,5450.0
2021-01-23,Enero,2021,Linea 7,Prepago,76436.0
2021-01-23,Enero,2021,Linea 7,Gratuidad,1017.0
2021-01-24,Enero,2021,Linea 1,Prepago,121941.0
2021-01-24,Enero,2021,Linea 1,Gratuidad,7168.0
2021-01-24,Enero,2021,Linea 2,Prepago,47733.0
2021-01-24,Enero,2021,Linea 2,Gratuidad,4153.0
2021-01-24,Enero,2021,Linea 3,Prepago,48017.0
2021-01-24,Enero,2021,Linea 3,Gratuidad,3946.0
2021-01-24,Enero,2021,Linea 4,Prepago,22857.0
2021-01-24,Enero,2021,Linea 4,Gratuidad,1504.0
2021-01-24,Enero,2021,Linea 5,Prepago,55275.0
2021-01-24,Enero,2021,Linea 5,Gratuidad,6715.0
2021-01-24,Enero,2021,Linea 6,Prepago,46406.0
2021-01-24,Enero,2021,Linea 6,Gratuidad,4143.0
2021-01-24,Enero,2021,Linea 7,Prepago,42915.0
2021-01-24,Enero,2021,Linea 7,Gratuidad,892.0
2021-01-25,Enero,2021,Linea 1,Prepago,285213.0
2021-01-25,Enero,2021,Linea 1,Gratuidad,12687.0
2021-01-25,Enero,2021,Linea 2,Prepago,99879.0
2021-01-25,Enero,2021,Linea 2,Gratuidad,6739.0
2021-01-25,Enero,2021,Linea 3,Prepago,101678.0
2021-01-25,Enero,2021,Linea 3,Gratuidad,6442.0
2021-01-25,Enero,2021,Linea 4,Prepago,44925.0
2021-01-25,Enero,2021,Linea 4,Gratuidad,2080.0
2021-01-25,Enero,2021,Linea 5,Prepago,90629.0
2021-01-25,Enero,2021,Linea 5,Gratuidad,10087.0
2021-01-25,Enero,2021,Linea 6,Prepago,94965.0
2021-01-25,Enero,2021,Linea 6,Gratuidad,7704.0
2021-01-25,Enero,2021,Linea 7,Prepago,88212.0
2021-01-25,Enero,2021,Linea 7,Gratuidad,1033.0
2021-01-26,Enero,2021,Linea 1,Prepago,273820.0
2021-01-26,Enero,2021,Linea 1,Gratuidad,12186.0
2021-01-26,Enero,2021,Linea 2,Prepago,100868.0
2021-01-26,Enero,2021,Linea 2,Gratuidad,6649.0
2021-01-26,Enero,2021,Linea 3,Prepago,101213.0
2021-01-26,Enero,2021,Linea 3,Gratuidad,6007.0
2021-01-26,Enero,2021,Linea 4,Prepago,43736.0
2021-01-26,Enero,2021,Linea 4,Gratuidad,1758.0
2021-01-26,Enero,2021,Linea 5,Prepago,93628.0
2021-01-26,Enero,2021,Linea 5,Gratuidad,9894.0
2021-01-26,Enero,2021,Linea 6,Prepago,92560.0
2021-01-26,Enero,2021,Linea 6,Gratuidad,7122.0
2021-01-26,Enero,2021,Linea 7,Prepago,91283.0
2021-01-26,Enero,2021,Linea 7,Gratuidad,1021.0
2021-01-27,Enero,2021,Linea 1,Prepago,275224.0
2021-01-27,Enero,2021,Linea 1,Gratuidad,13004.0
2021-01-27,Enero,2021,Linea 2,Prepago,98400.0
